area_id,ocd_id,name,country,state,city,district_type,parent_area_id
117,ocd-division/country:mx/state:em/city:40,Presidencia del municipio de IXTAPALUCA,MX,MEX,IXTAPALUCA,3,-1,
118,ocd-division/country:mx/state:em/city:58,Presidencia del municipio de NAUCALPAN,MX,MEX,NAUCALPAN,3,-1,
119,ocd-division/country:mx/state:em/city:60,Presidencia del municipio de NEZAHUALCÓYOTL,MX,MEX,NEZAHUALCÓYOTL,3,-1,
120,ocd-division/country:mx/state:em/city:82,Presidencia del municipio de TECÁMAC,MX,MEX,TECÁMAC,3,-1,
121,ocd-division/country:mx/state:em/fed:1,Diputación del Distrito Federal 1 de ESTADO DE MÉXICO,MX,MEX,"ACAMBAY DE RUIZ CASTA?EDA, ACULCO, CHAPA DE MOTA, JILOTEPEC, MORELOS, POLOTITLAN, SOYANIQUILPAN DE JUAREZ, TEMASCALCINGO, TIMILPAN, VILLA DEL CARBON",2,-1,
122,ocd-division/country:mx/state:em/fed:10,Diputación del Distrito Federal 10 de ESTADO DE MÉXICO,MX,MEX,ECATEPEC DE MORELOS,2,-1,
123,ocd-division/country:mx/state:em/fed:11,Diputación del Distrito Federal 11 de ESTADO DE MÉXICO,MX,MEX,ECATEPEC DE MORELOS,2,-1,
124,ocd-division/country:mx/state:em/fed:12,Diputación del Distrito Federal 12 de ESTADO DE MÉXICO,MX,MEX,IXTAPALUCA,2,-1,
125,ocd-division/country:mx/state:em/fed:13,Diputación del Distrito Federal 13 de ESTADO DE MÉXICO,MX,MEX,ECATEPEC DE MORELOS,2,-1,
126,ocd-division/country:mx/state:em/fed:14,Diputación del Distrito Federal 14 de ESTADO DE MÉXICO,MX,MEX,"ATIZAPAN DE ZARAGOZA, CUAUTITLAN IZCALLI, TLALNEPANTLA DE BAZ",2,-1,
127,ocd-division/country:mx/state:em/fed:15,Diputación del Distrito Federal 15 de ESTADO DE MÉXICO,MX,MEX,ATIZAPAN DE ZARAGOZA,2,-1,
128,ocd-division/country:mx/state:em/fed:16,Diputación del Distrito Federal 16 de ESTADO DE MÉXICO,MX,MEX,"ECATEPEC DE MORELOS, TLALNEPANTLA DE BAZ",2,-1,
129,ocd-division/country:mx/state:em/fed:17,Diputación del Distrito Federal 17 de ESTADO DE MÉXICO,MX,MEX,ECATEPEC DE MORELOS,2,-1,
130,ocd-division/country:mx/state:em/fed:18,Diputación del Distrito Federal 18 de ESTADO DE MÉXICO,MX,MEX,"HUIXQUILUCAN, JILOTZINGO, OTZOLOTEPEC, TOLUCA, XONACATLAN",2,-1,
131,ocd-division/country:mx/state:em/fed:19,Diputación del Distrito Federal 19 de ESTADO DE MÉXICO,MX,MEX,TLALNEPANTLA DE BAZ,2,-1,
132,ocd-division/country:mx/state:em/fed:2,Diputación del Distrito Federal 2 de ESTADO DE MÉXICO,MX,MEX,"JALTENCO, NEXTLALPAN, TULTEPEC, TULTITLAN, TONANITLA",2,-1,
133,ocd-division/country:mx/state:em/fed:20,Diputación del Distrito Federal 20 de ESTADO DE MÉXICO,MX,MEX,NEZAHUALCOYOTL,2,-1,
134,ocd-division/country:mx/state:em/fed:21,Diputación del Distrito Federal 21 de ESTADO DE MÉXICO,MX,MEX,"IXTAPALUCA, JUCHITEPEC, OZUMBA, TENANGO DEL AIRE, TEPETLIXPA, TLALMANALCO, AMECAMECA, ATLAUTLA, AYAPANGO, ECATZINGO",2,-1,
135,ocd-division/country:mx/state:em/fed:22,Diputación del Distrito Federal 22 de ESTADO DE MÉXICO,MX,MEX,NAUCALPAN DE JUAREZ,2,-1,
136,ocd-division/country:mx/state:em/fed:23,Diputación del Distrito Federal 23 de ESTADO DE MÉXICO,MX,MEX,"ALMOLOYA DEL RIO, ATIZAPAN, CAPULHUAC, XALATLACO, LERMA, OCOYOACAC, OCUILAN, TEXCALYACAC, TIANGUISTENCO",2,-1,
137,ocd-division/country:mx/state:em/fed:24,Diputación del Distrito Federal 24 de ESTADO DE MÉXICO,MX,MEX,NAUCALPAN DE JUAREZ,2,-1,
138,ocd-division/country:mx/state:em/fed:25,Diputación del Distrito Federal 25 de ESTADO DE MÉXICO,MX,MEX,CHIMALHUACAN,2,-1,
